task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,63.4,8003.692254,Mobilint-ARIES,mobilenetv2_elu_w1_0
Image Classification,Offline,61.65,8069.054345,Mobilint-ARIES,mobilenetv2_gelu_w1_0
Image Classification,Offline,63.2,8047.17458,Mobilint-ARIES,mobilenetv2_hardswish_w1_0
Image Classification,Offline,67.76,8141.329711,Mobilint-ARIES,mobilenetv2_leakyrelu_w1_0
Image Classification,Offline,68.0,7986.073014,Mobilint-ARIES,mobilenetv2_mish_w1_0
Image Classification,Offline,67.16,8311.735145,Mobilint-ARIES,mobilenetv2_prelu_w1_0
Image Classification,Offline,67.16,8221.459473,Mobilint-ARIES,mobilenetv2_relu_w1_0
Image Classification,Offline,66.94,8109.030151,Mobilint-ARIES,mobilenetv2_relu6_w1_0
Image Classification,Offline,36.52,8230.697404,Mobilint-ARIES,mobilenetv2_selu_w1_0
Image Classification,Offline,66.3,8095.83651,Mobilint-ARIES,mobilenetv2_silu_w1_0
Image Classification,Offline,67.74,2849.603634,DeepX M1,mobilenetv2_gelu_w1_0
Image Classification,Offline,58.84,2887.600411,DeepX M1,mobilenetv2_hardswish_w1_0
Image Classification,Offline,64.6,2844.417465,DeepX M1,mobilenetv2_leakyrelu_w1_0
Image Classification,Offline,66.95,2883.251735,DeepX M1,mobilenetv2_mish_w1_0
Image Classification,Offline,0.39,228.16788,DeepX M1,mobilenetv2_prelu_w1_0
Image Classification,Offline,67.41,2798.68304,DeepX M1,mobilenetv2_relu6_w1_0
Image Classification,Offline,67.22,2855.545835,DeepX M1,mobilenetv2_relu_w1_0
Image Classification,Offline,62.61,12.60119964,DeepX M1,mobilenetv2_selu_w1_0
Image Classification,Offline,67.28,2900.152868,DeepX M1,mobilenetv2_silu_w1_0
Image Classification,Offline,65.26,2166.968568,Hailo-8,mobilenetv2_elu_w1_0
Image Classification,Offline,66.72,2164.960302,Hailo-8,mobilenetv2_gelu_w1_0
Image Classification,Offline,55.53,2163.829582,Hailo-8,mobilenetv2_hardswish_w1_0
Image Classification,Offline,67.78,2138.538521,Hailo-8,mobilenetv2_leakyrelu_w1_0
Image Classification,Offline,65.97,2170.096497,Hailo-8,mobilenetv2_mish_w1_0
Image Classification,Offline,68.38,726.4304168,Hailo-8,mobilenetv2_prelu_w1_0
Image Classification,Offline,67.44,2257.498391,Hailo-8,mobilenetv2_relu6_w1_0
Image Classification,Offline,67.7,2270.82561,Hailo-8,mobilenetv2_relu_w1_0
Image Classification,Offline,65.78,2132.17012,Hailo-8,mobilenetv2_silu_w1_0
Image Classification,Offline,69.57,1455.804388,Apple M4 ANE,mobilenetv2_silu_w1_0
Image Classification,Offline,62.68,85.31482879,Apple M4 ANE,mobilenetv2_selu_w1_0
Image Classification,Offline,67.71,2231.107909,Apple M4 ANE,mobilenetv2_relu6_w1_0
Image Classification,Offline,67.83,2485.563346,Apple M4 ANE,mobilenetv2_relu_w1_0
Image Classification,Offline,68.67,2466.828259,Apple M4 ANE,mobilenetv2_prelu_w1_0
